Date,Open,Close,Diff,ShortMA,LongMA,Trend,Unusual
2016-01-12,1927.83,1938.68,0.563,2052.57,2015.84,0,0.0
2016-01-13,1940.34,1890.28,-2.58,2048.79,2014.39,0,0.0
2016-01-14,1891.68,1921.84,1.594,2045.14,2013.9,0,0.0
2016-01-15,1916.68,1880.33,-1.897,2040.56,2013.77,0,0.0
2016-01-19,1888.66,1881.33,-0.388,2036.14,2013.91,0,0.0
2016-01-20,1876.18,1859.33,-0.898,2031.32,2013.09,0,0.0
2016-01-21,1861.46,1868.99,0.405,2026.72,2011.91,0,0.0
2016-01-22,1877.4,1906.9,1.571,2023.29,2011.09,0,0.0
2016-01-25,1906.28,1877.08,-1.532,2019.19,2010.14,0,0.0
2016-01-26,1878.79,1903.63,1.322,2015.77,2010.03,0,0.0
2016-01-27,1902.52,1882.95,-1.029,2012.51,2009.37,0,0.0
2016-01-28,1885.22,1893.36,0.432,2009.91,2008.8,0,0.0
2016-01-29,1894.0,1940.24,2.441,2007.65,2008.99,-1,0.0
2016-02-01,1936.94,1939.38,0.126,2005.43,2008.69,-1,0.0
2016-02-02,1935.26,1903.03,-1.665,2001.82,2008.3,-1,0.0
2016-02-03,1907.07,1912.53,0.286,1998.45,2007.9,-1,0.0
2016-02-04,1911.67,1915.45,0.198,1994.97,2007.44,-1,0.0
2016-02-05,1913.07,1880.05,-1.726,1990.84,2006.71,-1,0.0
2016-02-08,1873.25,1853.44,-1.058,1986.13,2005.47,-1,0.0
2016-02-09,1848.46,1852.21,0.203,1981.39,2004.04,-1,0.0
2016-02-10,1857.1,1851.86,-0.282,1976.63,2002.65,-1,0.0
2016-02-11,1847.0,1829.08,-0.97,1971.6,2001.36,-1,0.0
2016-02-12,1833.4,1864.78,1.712,1966.85,2000.34,-1,0.0
2016-02-16,1871.44,1895.58,1.29,1963.17,1999.87,-1,0.0
2016-02-17,1898.8,1926.82,1.476,1960.71,1999.75,-1,0.0
2016-02-18,1927.57,1917.83,-0.505,1957.23,1999.61,-1,0.0
2016-02-19,1916.74,1917.78,0.054,1954.05,1999.47,-1,0.0
2016-02-22,1924.44,1945.5,1.094,1951.69,2000.11,-1,0.0
2016-02-23,1942.38,1921.27,-1.087,1949.16,2000.48,-1,0.0
2016-02-24,1917.56,1929.8,0.638,1946.71,2000.58,-1,0.0
2016-02-25,1931.87,1951.7,1.026,1945.5,2000.86,0,0.0
2016-02-26,1954.95,1948.05,-0.353,1944.02,2000.82,0,0.0
2016-02-29,1947.13,1932.23,-0.765,1941.8,2000.27,-1,0.0
2016-03-01,1937.09,1978.35,2.13,1939.9,2000.26,0,0.0
2016-03-02,1976.6,1986.45,0.498,1938.79,2000.17,0,0.0
2016-03-03,1985.6,1993.4,0.393,1938.55,1999.96,0,0.0
2016-03-04,1994.01,1999.99,0.3,1938.13,1999.82,0,0.0
2016-03-07,1996.11,2001.76,0.283,1937.38,1999.66,0,0.0
2016-03-08,1996.88,1979.26,-0.882,1935.68,1999.41,0,0.0
2016-03-09,1981.44,1989.26,0.395,1934.25,1999.36,0,0.0
2016-03-10,1990.97,1989.57,-0.07,1932.91,1999.02,0,0.0
2016-03-11,1994.71,2022.19,1.378,1931.79,1998.91,0,0.0
2016-03-14,2019.27,2019.64,0.018,1930.91,1998.77,0,0.0
2016-03-15,2015.27,2015.93,0.033,1930.35,1998.62,0,0.0
2016-03-16,2014.24,2027.22,0.644,1930.64,1998.71,0,0.0
2016-03-17,2026.9,2040.59,0.675,1931.12,1998.59,0,0.0
2016-03-18,2041.16,2049.58,0.413,1932.31,1998.33,0,0.0
2016-03-21,2047.88,2051.6,0.182,1934.48,1998.14,0,0.0
